year,from,to,q999,max
2021,NO,DE,1448.0194532564103,1448.63
2021,PL,UA,218.32588114285713,219.46
2021,NO,NL,731.1821124324325,731.74
2021,RS,BA,416.8268945454538,486.04
2021,BA,ME,560.8502501377394,683.9
2021,RS,ME,353.72367743589706,375.07
2021,MT,IT,206.41963636363624,226
2021,IT,ME,603,603
2021,IT,MT,143.7995662781239,161
2021,PL,SK,435.89485454545286,624.1
2021,DK,SE,1956.4213181818172,2071.08
2021,RU,UA,380.9490047619043,446
2021,BY,LT,242.9267901234565,347
2021,ME,BA,857.3707058823508,937.14
2021,UA,MD,180.9934571428567,235
2021,CZ,AT,686.3925806451596,913.1
2021,PT,ES,4279.879086842101,4549.19
2021,UA,PL,0,0
2021,NL,DK,700.571491025641,700.65
2021,BA,RS,568.933223496502,677.2
2021,FR,IT,1661.4880146520093,1900
2021,MK,GR,936.4615384615363,979
2021,LV,LT,690.2800803880838,909.5
2021,LT,LV,901.126569444451,999
2021,RU,LV,173.37327238095287,204
2021,EE,LV,439.45714230019325,510.75
2021,LV,EE,867.9834633862426,895.35
2021,LV,RU,293.1084779220789,320
2021,LT,BY,929.0690666666658,1001
2021,GR,BG,615.7892857142837,690
2021,SI,AT,1466.3494256480749,1565.48
2021,AT,SI,1346.8286597101437,1453.04
2021,NL,UK,724.5404446153817,995.67
2021,UK,NL,1087.0824616755795,1087.64
2021,IE,UK,530.0110845210728,530.03
2021,UK,IE,500.0293852173912,501.43
2021,FR,UK,2260.3613958532565,2662
2021,UK,FR,3053.71325,3055
2021,BE,UK,943.8343428571418,999.39
2021,UK,BE,1044.6789655502391,1044.78
2021,MK,XK,476.7275999999994,516
2021,AL,XK,463.4518476190455,549.3
2021,XK,AL,460.46105538461507,507.46
2021,ME,XK,423.3690761904756,467.6
2021,XK,ME,441.01075303643677,502.4
2021,XK,RS,577.677917777777,656.23
2021,XK,MK,433.79145701357425,520
2021,RS,XK,347.8763926392564,403.94
2021,AL,ME,556.9295428571406,670.27
2021,ME,AL,620.7892263354032,672
2021,UK,NO,1331.6901290476135,1400
2021,NO,UK,1266.6759902222104,1399.38
2022,DE,CH,2676.008001187369,3516.85
2022,AM,GE,123.60596228491804,139.41
